PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
Docheiariou 2,Imperial letters of Alexios and Anna,tp,"Actes de Docheiariou, Archives de l’Athos XIII, Paris 1984, 58-59",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2013-Actes%20de%20Docheiariou%2C%20ed.%20N.%20Oikonomid%E5%A6%94%2C%20Paris%201984,"58.1,58.40","Oikonomidēs, Nicolas",14774616,Niketas 159,factoid 375495,,,
Docheiariou 2a,Pittakion of Alexios I,tp,"Actes de Docheiariou, Archives de l’Athos XIII, Paris 1984, 58",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2013-Actes%20de%20Docheiariou%2C%20ed.%20N.%20Oikonomid%E5%A6%94%2C%20Paris%201984,58.2-19,"Oikonomidēs, Nicolas",14774616,Niketas 159; Alexios 1,factoid 375495,,,
Docheiariou 2b,Prostaxis of Anna Dalassene,tp,"Actes de Docheiariou, Archives de l’Athos XIII, Paris 1984, 58-59",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2013-Actes%20de%20Docheiariou%2C%20ed.%20N.%20Oikonomid%E5%A6%94%2C%20Paris%201984,"58.20-21,59.21-39","Oikonomidēs, Nicolas",14774616,Niketas 159; Anna 61,factoid 375495,,,
Documents 4,On Ordinations,jr,"Documents inédits d'ecclésiologie byzantine, Leuven 1966, pp. 176-206",,176-206,"Darrouzès, Jean",19676388,Niketas 135,factoid 444823,,,
Documents 5,On Synods,jr,"Documents inédits d'ecclésiologie byzantine, Leuven 1966, pp. 208-236",,208-236,"Darrouzès, Jean",19676388,Niketas 135,factoid 444821,,,
Documents 6,On Elections,jr,"Documents inédits d'ecclésiologie byzantine, Leuven 1966, pp. 238-248",,238-248,"Darrouzès, Jean",19676388,Niketas 135,factoid 444837,,,
Documents 7,On Resignations,jr,"Documents inédits d'ecclésiologie byzantine, Leuven 1966, pp. 250-264",,250-264,"Darrouzès, Jean",19676388,Niketas 135,factoid 444841,,,
Domenico of Grado,Domenico of Grado to Petros of Antioch,jr,"Acta et scripta quae de controversiis ecclesiae graecae et latinae saeculo undecimo composita extant, Leipzig and Marburg 1861, pp. 205-208","https://www.digitale-sammlungen.de/en/view/bsb10800693?page=,1",,"Will, Cornelius",29618378,Dominikos 101,factoid 434887,,,
Eleousa: Acts,Chrysobull to Eleousa monastery,tp,"“Le monastère de Notre-Dame de Pitié en Macédoine”, Izvestija Russkogo Arheologičeskogo Instituta v Konstantinopole 6 (1900) 25-27",https://athoslibrary.blogspot.com/2021/08/petit-louis-le-monastere-de-notre-dame.html,,"Petit, Louis",51721803,Alexios 1,factoid 254102,,,
Eleousa: Typikon,Typikon of Eleousa monastery,mw,"“Le monastère de Notre-Dame de Pitié en Macédoine”, Izvestija Russkogo Arheologičeskogo Instituta v Konstantinopole 6 (1900) 69-125",https://athoslibrary.blogspot.com/2021/08/petit-louis-le-monastere-de-notre-dame.html,,"Petit, Louis",51721803,Manuel 63,factoid 240569,,,
Esphigmenou 1,Deed of sale 1034,tp,"Actes d’Esphigménou, Archives de l’Athos VI, Paris 1973, 41-42",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%206-Actes%20d%27Esphigm%E4%BF%B7ou%2C%20ed.%20J.%20Lefort%2C%20Paris%201973,41-42,"Lefort, Jacques",71393851,Dionysios 110; Germanos 108; Petros 139,factoid 375406,,,
Esphigmenou 2,Deed of Theoktistos to Nikephoros,tp,"Actes d’Esphigménou, Archives de l’Athos VI, Paris 1973, 45-46",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%206-Actes%20d%27Esphigm%E4%BF%B7ou%2C%20ed.%20J.%20Lefort%2C%20Paris%201973,45-46,"Lefort, Jacques",71393851,Bartholomaios 108; Theoktistos 107,factoid 375433,,,
Esphigmenou 3,Guarantee of Theodoros of Galaiagra,tp,"Actes d’Esphigménou, Archives de l’Athos VI, Paris 1973, 48-49",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%206-Actes%20d%27Esphigm%E4%BF%B7ou%2C%20ed.%20J.%20Lefort%2C%20Paris%201973,48-49,"Lefort, Jacques",71393851,Theodoros 224; Iakobos 101,factoid 375439,,,
Esphigmenou 4,Deed of Nikolaos protospatharios,tp,"Actes d’Esphigménou, Archives de l’Athos VI, Paris 1973, 52-54",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%206-Actes%20d%27Esphigm%E4%BF%B7ou%2C%20ed.%20J.%20Lefort%2C%20Paris%201973,"52.1-2,53.12-29,54.30","Lefort, Jacques",71393851,Nikolaos 226,factoid 375458,,,
Esphigmenou 4a,Parekbolaion of Christophoros krites,tp,"Actes d’Esphigménou, Archives de l’Athos VI, Paris 1973, 52-53",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%206-Actes%20d%27Esphigm%E4%BF%B7ou%2C%20ed.%20J.%20Lefort%2C%20Paris%201973,"52.3-6,53.6-11","Lefort, Jacques",71393851,Christophoros 110; Nikolaos 226,factoid 375454,,,
Esphigmenou 5,Deed of Euthymios,tp,"Actes d’Esphigménou, Archives de l’Athos VI, Paris 1973, 57-58",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%206-Actes%20d%27Esphigm%E4%BF%B7ou%2C%20ed.%20J.%20Lefort%2C%20Paris%201973,57-58,"Lefort, Jacques",71393851,Euthymios 113,factoid 375483,,,
Eustathios Romaios Peira,Peira,mj,"“Πεῖρα Εὐσταθίου τοῦ Ῥωμαίου”, Jus Graecoromanum vol.4, Athens 1931",,,"Zepos, Panagiōtēs",111939078,"Eustathios 61, Anonymus 12144",factoid 374065,,,
Eustathios Romaios RPA,Peri disexadelphōn,mj,"Σύνταγμα τῶν θείων καὶ ἱερῶν κανόνων, vol. 5, Athens 1855, 32-36",https://anemi.lib.uoc.gr/metadata/9/3/c/metadata-01-0000374.tkl,32-36,"Rállēs, Geṓrgios A.; Potlēs, Michaēl",10200332; 66864785,Eustathios 61,factoid 374072,,,
Eustathios Romaios RPB,Hypomnēma peri duō exadelphōn labontōn duo exadelphas,mj,"Σύνταγμα τῶν θείων καὶ ἱερῶν κανόνων, vol. 5, Athens 1855, 341-353",https://anemi.lib.uoc.gr/metadata/9/3/c/metadata-01-0000374.tkl,341-353,"Rállēs, Geṓrgios A.; Potlēs, Michaēl",10200332; 66864785,Eustathios 61,factoid 374067,,,
Eustathios Romaios Schminck I,,mj,"“Vier eherechtliche Entscheidungen aus dem 11. Jahrhundert”, Fontes Minores 3 (1979) 221-279",,,"Schminck, Andreas",62165959,Eustathios 61,factoid 374068,,,
Eustathios Romaios Schminck II,,mj,"“Vier eherechtliche Entscheidungen aus dem 11. Jahrhundert”, Fontes Minores 3 (1979) 221-279",,,"Schminck, Andreas",62165959,Eustathios 61,,,,
Eustathios Romaios Schminck III,,mj,"“Vier eherechtliche Entscheidungen aus dem 11. Jahrhundert”, Fontes Minores 3 (1979) 221-279",,,"Schminck, Andreas",62165959,Eustathios 61,factoid 374070,,,
Eustathios: Capture of Thessalonike,De Thessalonica a Latinis capta,mj,"La espugnazione di Tessalonica, Palermo 1961",,,"Kyriakides, Stilpon Paraskeua",69687416,Eustathios 20147,factoid 451468,,,
Fulcher of Chartres,Fulcheri Carnotensis Historia Hierosolymitana,mj,"Fulcheri Carnotensis Historia Hierosolymitana (1095-1127), Heidelberg 1913",https://archive.org/details/historiahierosol00foucuoft,,"Hagenmeyer, Heinrich",5023204,Fulcher 101,factoid 442407,,,
Glykas,Annales,tp,"Michaelis Glycae Annales, Corpus scriptorum historiae Byzantinae 21, Bonn 1836",https://archive.org/details/michaelisglycae00leungoog,,"Bekker, Immanuel",44387193,Michael 305,"Vol. 4, col. 1519",Peter Schreiner,"Glykas Sikidites, Michael', in Lexikon des Mittelalters, 10 vols (Stuttgart: Metzler, [1977]-1999)",http://apps.brepolis.net.uaccess.univie.ac.at/lexiema/test/Default2.aspx
"Gregory VII, Epistolae vagantes",Gregory VII to Matilda of Tuscany,jr,"The Epistolae vagantes of Pope Gregory VII, Oxford 1972",https://archive.org/details/epistolaevagante0000cath/,,"Cowdrey, Herbert E. J.",2787145857122522922479,Gregorios 27,factoid 444761,,,
"Gregory VII, in Caspar I, 18",Gregory VII to Emperor Michael VII,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1923",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444762,,,
"Gregory VII, in Caspar I, 46",Gregory VII to William of Burgundy,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1924",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444763,,,
"Gregory VII, in Caspar I, 49",Gregory VII's call for the defense of Constantinople,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1925",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444764,,,
"Gregory VII, in Caspar II, 31",Gregory VII to Henry IV,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1926",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444765,,,
"Gregory VII, in Caspar II, 37",Gregory VII's call for the crussade,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1927",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444766,,,
"Gregory VII, in Caspar II, 49","Gregory VII to Hugh, Abbot of Cluny",jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1928",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444767,,,
"Gregory VII, in Caspar II, 6","Gregory VII to Jaromir, Bishop of Prague",jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1929",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444768,,,
"Gregory VII, in Caspar II, 52a","Short report on the Roman Synod, 1075",jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1930",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444769,,,
"Gregory VII, in Caspar VI, 5b","Protocol of the Roman Synod, Fall 1078",jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1931",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444770,,,
"Gregory VII, in Caspar VII, 28","Gregory VII to Roffredo, Bishop of Benevento",jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1932",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444771,,,
