PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
Mauropous: Orations 93-96,Oration 93-96,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 48-50",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230631,,,
Mauropous: Orations 94,Oration 94,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 50",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230632,,,
Mauropous: Orations 95,Oration 95,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 50",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230633,,,
Mauropous: Orations 96,Oration 96,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 50",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230634,,,
Mauropous: Orations 97-98,Oration 97-98,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 50-51",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,50-51,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230635,,,
Mauropous: Orations 99,Oration 99,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 51",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230636,,,
Mauropous: Orations 177,Oration 177,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 95-106",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,95-106,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230637,,,
Mauropous: Orations 178,Oration 178,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 106-119",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,106-118,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230638,,,
Mauropous: Orations 179,Oration 179,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 119-130",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,119-130,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230639,,,
Mauropous: Orations 180,Oration 180,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 130-137",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,130-137,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230640,,,
Mauropous: Orations 181,Oration 181,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 137-142",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,137-142,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230641,,,
Mauropous: Orations 182,Oration 182,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 142-147",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,142-147,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230642,,,
Mauropous: Orations 183,Oration 183,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 147-160",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,147-159,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230643,,,
Mauropous: Orations 184,Oration 184,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 160-165",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,160-165,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230644,,,
Mauropous: Orations 185,Oration 185,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 165-178",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,165-178,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230646,,,
Mauropous: Orations 186,Oration 186,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 178-195",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,178-195,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230647,,,
Mauropous: Orations 187,Oration 187,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 195-202",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,195-202,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230648,,,
Mauropous: Orations 188,Oration 188,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 202-207",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,202-207,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230649,,,
Mauropous: Orations 189,Oration 189,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 207-209",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,207-209,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230650,,,
Mauropous: Orations 190,Oration 190,tp,"Iohannis Euchaitorum metropolitae quae in codice vaticano graeco 676 supersunt, Göttingen 1882, 209-218",https://books.google.at/books?id=jzuuQwAACAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,209-218,"Bollig, I; de Lagarde, P",42584340; 71399627,Ioannes 289,factoid 230651,,,
Mauropous: Letters 1,Letter 1,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230731,,,
Mauropous: Letters 2,Letter 2,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230732,,,
Mauropous: Letters 3,Letter 3,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230733,,,
Mauropous: Letters 4,Letter 4,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230735,,,
Mauropous: Letters 5,Letter 5,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230736,,,
Mauropous: Letters 6,Letter 6,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,54-57,"Karpozilos, A.",304105876,Ioannes 289,factoid 230737,,,
Mauropous: Letters 7,Letter 7,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,58-59,"Karpozilos, A.",304105876,Ioannes 289,factoid 230739,,,
Mauropous: Letters 8,Letter 8,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,60-61,"Karpozilos, A.",304105876,Ioannes 289,factoid 230740,,,
Mauropous: Letters 9,Letter 9,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230741,,,
Mauropous: Letters 10,Letter 10,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,64-65,"Karpozilos, A.",304105876,Ioannes 289,factoid 230742,,,
Mauropous: Letters 11,Letter 11,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230743,,,
Mauropous: Letters 12,Letter 12,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230744,,,
Mauropous: Letters 13,Letter 13,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230745,,,
Mauropous: Letters 14,Letter 14,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230746,,,
Mauropous: Letters 15,Letter 15,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230747,,,
Mauropous: Letters 16,Letter 16,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230748,,,
Mauropous: Letters 17,Letter 17,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230749,,,
Mauropous: Letters 18,Letter 18,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230750,,,
Mauropous: Letters 19,Letter 19,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,88-89,"Karpozilos, A.",304105876,Ioannes 289,factoid 230751,,,
Mauropous: Letters 20,Letter 20,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,90-93,"Karpozilos, A.",304105876,Ioannes 289,factoid 230752,,,
Mauropous: Letters 21,Letter 21,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230753,,,
Mauropous: Letters 22,Letter 22,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230754,,,
Mauropous: Letters 23,Letter 23,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,98-99,"Karpozilos, A.",304105876,Ioannes 289,factoid 230755,,,
Mauropous: Letters 24,Letter 24,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230756,,,
Mauropous: Letters 25,Letter 25,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230757,,,
Mauropous: Letters 26,Letter 26,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230758,,,
Mauropous: Letters 27,Letter 27,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230759,,,
Mauropous: Letters 28,Letter 28,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230760,,,
Mauropous: Letters 29,Letter 29,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230761,,,
Mauropous: Letters 30,Letter 30,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230762,,,
Mauropous: Letters 31,Letter 31,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230763,,,
Mauropous: Letters 32,Letter 32,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230764,,,
Mauropous: Letters 33,Letter 33,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230765,,,
Mauropous: Letters 34,Letter 34,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230767,,,
Mauropous: Letters 35,Letter 35,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,124-125,"Karpozilos, A.",304105876,Ioannes 289,factoid 230768,,,
Mauropous: Letters 36,Letter 36,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230769,,,
Mauropous: Letters 37,Letter 37,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,128-129,"Karpozilos, A.",304105876,Ioannes 289,factoid 230770,,,
Mauropous: Letters 38,Letter 38,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230771,,,
Mauropous: Letters 39,Letter 39,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,132-133,"Karpozilos, A.",304105876,Ioannes 289,factoid 230773,,,
Mauropous: Letters 40,Letter 40,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230774,,,
Mauropous: Letters 41,Letter 41,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230775,,,
Mauropous: Letters 42,Letter 42,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230776,,,
Mauropous: Letters 43,Letter 43,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,136-137,"Karpozilos, A.",304105876,Ioannes 289,factoid 230777,,,
Mauropous: Letters 44,Letter 44,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230779,,,
Mauropous: Letters 45,Letter 45,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,138-139,"Karpozilos, A.",304105876,Ioannes 289,factoid 230780,,,
Mauropous: Letters 46,Letter 46,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230781,,,
Mauropous: Letters 47,Letter 47,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230782,,,
Mauropous: Letters 48,Letter 48,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230784,,,
Mauropous: Letters 49,Letter 49,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230785,,,
Mauropous: Letters 50,Letter 50,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230786,,,
Mauropous: Letters 51,Letter 51,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230787,,,
Mauropous: Letters 52,Letter 52,tp,"The letters of Ioannes Mauropus, metropolitan of Euchaita. Greek text, translation and commentary, Thessalonike 1990",https://ia601706.us.archive.org/10/items/cfhb-11.1-nicetae-choniatae-historia/CFHB%2034_Ioannis%20Mauropodis%20Euchaitorum%20Metropolitae%20epistulae.pdf,,"Karpozilos, A.",304105876,Ioannes 289,factoid 230788,,,
